"filename", "language", "XML", "C", "LinkerScript", "Assembler file", "comment", "blank", "total"
"y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_fault_tolerant_add_bitmap_log.c", "C", 0, 27, 0, 0, 71, 17, 115
"y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_fault_tolerant_add_checksum_log.c", "C", 0, 46, 0, 0, 84, 26, 156
"y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_fault_tolerant_add_dir_log.c", "C", 0, 35, 0, 0, 78, 21, 134
"y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_fault_tolerant_apply_logs.c", "C", 0, 152, 0, 0, 118, 66, 336
"y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_fault_tolerant_calculate_checksum.c", "C", 0, 21, 0, 0, 69, 14, 104
"y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_fault_tolerant_cleanup_FAT_chain.c", "C", 0, 127, 0, 0, 119, 47, 293
"y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_fault_tolerant_create_log_file.c", "C", 0, 208, 0, 0, 133, 75, 416
"y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_fault_tolerant_enable.c", "C", 0, 236, 0, 0, 174, 110, 520
"y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_fault_tolerant_read_FAT.c", "C", 0, 70, 0, 0, 91, 33, 194
"y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_fault_tolerant_read_directory_sector.c", "C", 0, 60, 0, 0, 88, 31, 179
"y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_fault_tolerant_read_log_file.c", "C", 0, 20, 0, 0, 62, 12, 94
"y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_fault_tolerant_recover.c", "C", 0, 45, 0, 0, 98, 26, 169
"y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_fault_tolerant_reset_log_file.c", "C", 0, 42, 0, 0, 85, 16, 143
"y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_fault_tolerant_set_FAT_chain.c", "C", 0, 36, 0, 0, 81, 17, 134
"y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_fault_tolerant_transaction_end.c", "C", 0, 65, 0, 0, 112, 31, 208
"y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_fault_tolerant_transaction_fail.c", "C", 0, 18, 0, 0, 77, 11, 106
"y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_fault_tolerant_transaction_start.c", "C", 0, 21, 0, 0, 80, 15, 116
