Date : 2024-06-29 12:30:45
Directory : y:\RAMworkspace\F4Z_test
Total : 340 files,  29153 codes, 27966 comments, 12608 blanks, all 69727 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_directory_local_path_restore.c              | C              |         27 |         70 |         21 |        118 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_directory_local_path_set.c                  | C              |        188 |        164 |        100 |        452 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_directory_long_name_get.c                   | C              |          7 |         68 |         11 |         86 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_directory_long_name_get_extended.c          | C              |         32 |         80 |         28 |        140 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_directory_name_extract.c                    | C              |         47 |         84 |         31 |        162 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_directory_name_test.c                       | C              |         35 |         80 |         29 |        144 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_directory_next_entry_find.c                 | C              |        220 |        151 |        101 |        472 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_directory_next_full_entry_find.c            | C              |        274 |        179 |        121 |        574 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_directory_rename.c                          | C              |        247 |        164 |        113 |        524 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_directory_search.c                          | C              |        492 |        289 |        204 |        985 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_directory_short_name_get.c                  | C              |          7 |         68 |         11 |         86 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_directory_short_name_get_extended.c         | C              |         49 |         87 |         35 |        171 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_fault_tolerant_add_FAT_log.c                | C              |         27 |         70 |         17 |        114 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_fault_tolerant_add_bitmap_log.c             | C              |         27 |         71 |         17 |        115 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_fault_tolerant_add_checksum_log.c           | C              |         46 |         84 |         26 |        156 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_fault_tolerant_add_dir_log.c                | C              |         35 |         78 |         21 |        134 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_fault_tolerant_apply_logs.c                 | C              |        152 |        118 |         66 |        336 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_fault_tolerant_calculate_checksum.c         | C              |         21 |         69 |         14 |        104 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_fault_tolerant_cleanup_FAT_chain.c          | C              |        127 |        119 |         47 |        293 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_fault_tolerant_create_log_file.c            | C              |        208 |        133 |         75 |        416 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_fault_tolerant_enable.c                     | C              |        236 |        174 |        110 |        520 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_fault_tolerant_read_FAT.c                   | C              |         70 |         91 |         33 |        194 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_fault_tolerant_read_directory_sector.c      | C              |         60 |         88 |         31 |        179 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_fault_tolerant_read_log_file.c              | C              |         20 |         62 |         12 |         94 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_fault_tolerant_recover.c                    | C              |         45 |         98 |         26 |        169 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_fault_tolerant_reset_log_file.c             | C              |         42 |         85 |         16 |        143 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_fault_tolerant_set_FAT_chain.c              | C              |         36 |         81 |         17 |        134 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_fault_tolerant_transaction_end.c            | C              |         65 |        112 |         31 |        208 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_fault_tolerant_transaction_fail.c           | C              |         18 |         77 |         11 |        106 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_fault_tolerant_transaction_start.c          | C              |         21 |         80 |         15 |        116 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_fault_tolerant_write_log_file.c             | C              |         26 |         71 |         16 |        113 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_file_allocate.c                             | C              |          9 |         66 |         10 |         85 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_file_attributes_read.c                      | C              |         54 |         83 |         33 |        170 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_file_attributes_set.c                       | C              |         96 |        103 |         45 |        244 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_file_best_effort_allocate.c                 | C              |         14 |         70 |         14 |         98 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_file_close.c                                | C              |         71 |         89 |         39 |        199 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_file_create.c                               | C              |        174 |        138 |         81 |        393 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_file_date_time_set.c                        | C              |         40 |         83 |         26 |        149 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_file_delete.c                               | C              |        240 |        143 |         95 |        478 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_file_extended_allocate.c                    | C              |        482 |        217 |        173 |        872 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_file_extended_best_effort_allocate.c        | C              |        504 |        229 |        186 |        919 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_file_extended_relative_seek.c               | C              |         49 |         89 |         26 |        164 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_file_extended_seek.c                        | C              |        147 |        114 |         68 |        329 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_file_extended_truncate.c                    | C              |        177 |        127 |         74 |        378 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_file_extended_truncate_release.c            | C              |        530 |        240 |        204 |        974 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_file_open.c                                 | C              |        330 |        167 |        110 |        607 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_file_read.c                                 | C              |        216 |        159 |         89 |        464 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_file_relative_seek.c                        | C              |          9 |         71 |         11 |         91 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_file_rename.c                               | C              |        296 |        176 |        127 |        599 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_file_seek.c                                 | C              |          9 |         65 |         10 |         84 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_file_truncate.c                             | C              |          9 |         65 |         10 |         84 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_file_truncate_release.c                     | C              |          9 |         67 |         11 |         87 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_file_write.c                                | C              |      1,035 |        388 |        348 |      1,771 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_file_write_notify_set.c                     | C              |          8 |         64 |         12 |         84 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_media_abort.c                               | C              |         61 |         89 |         40 |        190 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_media_boot_info_extract.c                   | C              |        147 |        131 |         54 |        332 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_media_cache_invalidate.c                    | C              |         32 |         77 |         26 |        135 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_media_check.c                               | C              |        368 |        289 |        174 |        831 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_media_check_FAT_chain_check.c               | C              |         52 |         88 |         32 |        172 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_media_check_lost_cluster_check.c            | C              |         98 |        141 |         44 |        283 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_media_close.c                               | C              |        183 |        164 |        101 |        448 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_media_close_notify_set.c                    | C              |          8 |         63 |         12 |         83 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_media_exFAT_format.c                        | C              |        759 |        263 |        210 |      1,232 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_media_extended_space_available.c            | C              |         22 |         72 |         22 |        116 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_media_flush.c                               | C              |        152 |        139 |         83 |        374 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_media_format.c                              | C              |        322 |        223 |        147 |        692 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_media_format_oem_name_set.c                 | C              |         14 |         67 |         17 |         98 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_media_format_type_set.c                     | C              |         10 |         65 |         14 |         89 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_media_format_volume_id_set.c                | C              |         10 |         66 |         13 |         89 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_media_open.c                                | C              |        541 |        319 |        200 |      1,060 |
